iter	Logloss
0	0.6775982441
1	0.6570865925
2	0.6413739238
3	0.6306502374
4	0.6203425186
5	0.6040928985
6	0.5892324389
7	0.5805185168
8	0.5713759636
9	0.5597651428
10	0.552306508
11	0.5410619788
12	0.531301121
13	0.5215677709
14	0.5094095602
15	0.5004383403
16	0.4930509313
17	0.4852090064
18	0.4749905313
19	0.4666347153
20	0.4598394147
21	0.4508031083
22	0.44207124
23	0.4353657232
24	0.4301973038
25	0.4214150747
26	0.4127479258
27	0.4062069336
28	0.4001735468
29	0.3941785569
30	0.3871821746
31	0.3824097482
32	0.3757828452
33	0.3711612147
34	0.3669101006
35	0.3619881417
36	0.3561865829
37	0.3507835751
38	0.3468994254
39	0.3424559594
40	0.338272978
41	0.3336441434
42	0.3287726591
43	0.3248375077
44	0.3211782954
45	0.318755472
46	0.3132657018
47	0.3104540371
48	0.3077549853
49	0.3040236116
50	0.3011210696
51	0.2982521969
52	0.2953372532
53	0.2891676719
54	0.2852741909
55	0.2824884514
56	0.2790944054
57	0.2766773665
58	0.2734692676
59	0.2705918486
60	0.2667995379
61	0.2638985903
62	0.2603016851
63	0.2574673038
64	0.2547469029
65	0.251890734
66	0.2493945684
67	0.247376787
68	0.2449388815
69	0.2423627153
70	0.2409093604
71	0.2387376802
72	0.2355677402
73	0.2327898198
74	0.2313006413
75	0.2292170741
76	0.2271832256
77	0.2255782369
78	0.2233149893
79	0.220871987
80	0.2186441515
81	0.2163408736
82	0.2145294516
83	0.2124615416
84	0.2106800225
85	0.2089669473
86	0.2072366604
87	0.2044752484
88	0.2028691109
89	0.2013366471
90	0.1992603584
91	0.1970207835
92	0.1956887304
93	0.1940658348
94	0.1923087201
95	0.1904983723
96	0.1890683436
97	0.1864336289
98	0.1843999387
99	0.1822449667
