train_no,journey_date,station_seq,station_code,delay_min,reporting_lag_min,scheduled_count
12301,2025-10-07,1,GZB,0.0,0,5
12301,2025-10-07,2,ALJN,0.0,7,8
12301,2025-10-07,3,TDL,0.0,0,9
12301,2025-10-07,4,CNB,0.0,0,3
12301,2025-10-07,5,PRYJ,0.0,24,2
12301,2025-10-07,6,DDU,0.0,0,6
12301,2025-10-07,7,PNBE,0.0,14,17
12301,2025-10-07,8,HWH,0.2,0,2
12301,2025-10-07,9,BCT,1.6,0,5
12301,2025-10-07,10,BRC,0.6,0,9
12301,2025-10-07,11,RTM,0.0,0,12
12301,2025-10-07,12,KOTA,0.0,0,13
12301,2025-10-07,13,MAS,0.0,0,9
12301,2025-10-07,14,SBC,0.0,0,15
12301,2025-10-07,15,NDLS,0.0,7,17
12301,2025-10-07,16,GZB,0.0,0,16
12301,2025-10-07,17,ALJN,0.0,0,5
12301,2025-10-07,18,TDL,0.0,24,4
12301,2025-10-07,19,CNB,3.2,0,14
12301,2025-10-07,20,PRYJ,11.4,0,2
22415,2025-10-22,1,GZB,26.5,0,5
22415,2025-10-22,2,ALJN,30.6,6,16
22415,2025-10-22,3,TDL,30.2,0,4
22415,2025-10-22,4,CNB,27.7,27,14
22415,2025-10-22,5,PRYJ,28.3,0,8
22415,2025-10-22,6,DDU,32.9,6,6
22415,2025-10-22,7,PNBE,31.1,0,17
22415,2025-10-22,8,HWH,36.4,26,5
22415,2025-10-22,9,BCT,35.9,0,2
22415,2025-10-22,10,BRC,34.9,0,12
22415,2025-10-22,11,RTM,38.2,0,4
12423,2025-11-29,1,GZB,0.0,0,17
12423,2025-11-29,2,ALJN,1.5,25,17
12423,2025-11-29,3,TDL,3.4,18,7
12423,2025-11-29,4,CNB,0.2,0,8
12423,2025-11-29,5,PRYJ,0.0,0,15
12423,2025-11-29,6,DDU,0.0,9,6
12423,2025-11-29,7,PNBE,0.0,0,17
12423,2025-11-29,8,HWH,1.5,24,16
12423,2025-11-29,9,BCT,7.4,0,15
12423,2025-11-29,10,BRC,13.2,0,6
12423,2025-11-29,11,RTM,11.6,0,6
12423,2025-11-29,12,KOTA,8.3,27,2
12423,2025-11-29,13,MAS,1.2,0,5
12423,2025-11-29,14,SBC,0.0,0,10
12423,2025-11-29,15,NDLS,0.0,5,6
12423,2025-11-29,16,GZB,0.0,0,13
12423,2025-11-29,17,ALJN,0.0,26,11
12423,2025-11-29,18,TDL,0.0,0,16
12423,2025-11-29,19,CNB,0.0,17,15
12423,2025-11-29,20,PRYJ,0.0,20,2
12424,2025-11-06,1,GZB,0.0,0,12
12424,2025-11-06,2,ALJN,0.6,32,11
12424,2025-11-06,3,TDL,0.0,0,16
12424,2025-11-06,4,CNB,6.1,0,7
12424,2025-11-06,5,PRYJ,3.8,0,2
12424,2025-11-06,6,DDU,8.0,0,15
12424,2025-11-06,7,PNBE,8.0,10,11
12424,2025-11-06,8,HWH,4.1,29,16
12424,2025-11-06,9,BCT,4.7,0,17
12424,2025-11-06,10,BRC,9.9,29,8
12424,2025-11-06,11,RTM,13.1,18,13
12424,2025-11-06,12,KOTA,11.6,6,15
12424,2025-11-06,13,MAS,12.9,33,8
12424,2025-11-06,14,SBC,16.6,0,9
12424,2025-11-06,15,NDLS,15.9,27,15
12424,2025-11-06,16,GZB,22.3,34,17
12424,2025-11-06,17,ALJN,20.3,0,13
12424,2025-11-06,18,TDL,21.0,10,12
12424,2025-11-06,19,CNB,21.0,0,7
12424,2025-11-06,20,PRYJ,24.4,0,2
12424,2025-11-06,21,DDU,18.4,0,5
12002,2025-11-14,1,GZB,0.6,0,2
12002,2025-11-14,2,ALJN,4.5,0,9
12002,2025-11-14,3,TDL,6.8,0,5
12002,2025-11-14,4,CNB,8.4,0,15
12002,2025-11-14,5,PRYJ,16.7,0,5
12002,2025-11-14,6,DDU,20.5,0,9
12002,2025-11-14,7,PNBE,25.9,14,16
12002,2025-11-14,8,HWH,23.8,0,12
12002,2025-11-14,9,BCT,22.8,0,2
12002,2025-11-14,10,BRC,21.4,0,15
12002,2025-11-14,11,RTM,15.5,0,4
12002,2025-11-14,12,KOTA,15.6,0,14
12295,2025-10-11,1,GZB,9.0,21,10
12295,2025-10-11,2,ALJN,8.7,22,4
12295,2025-10-11,3,TDL,13.4,5,6
12295,2025-10-11,4,CNB,15.0,0,14
12295,2025-10-11,5,PRYJ,13.0,0,6
12295,2025-10-11,6,DDU,11.8,0,9
12295,2025-10-11,7,PNBE,13.3,0,7
12295,2025-10-11,8,HWH,13.5,5,3
12295,2025-10-11,9,BCT,9.4,0,3
12295,2025-10-11,10,BRC,16.1,0,9
12295,2025-10-11,11,RTM,21.0,0,3
12295,2025-10-11,12,KOTA,24.1,0,15
12295,2025-10-11,13,MAS,28.3,0,15
12295,2025-10-11,14,SBC,30.7,10,6
12295,2025-10-11,15,NDLS,36.8,7,2
12295,2025-10-11,16,GZB,33.9,0,8
12295,2025-10-11,17,ALJN,37.1,0,7
12295,2025-10-11,18,TDL,35.0,13,13
12004,2025-12-01,1,GZB,0.0,0,15
12004,2025-12-01,2,ALJN,0.0,0,7
12004,2025-12-01,3,TDL,0.0,31,9
12004,2025-12-01,4,CNB,0.0,0,17
12004,2025-12-01,5,PRYJ,0.0,6,4
12004,2025-12-01,6,DDU,0.0,0,13
12004,2025-12-01,7,PNBE,0.0,0,14
12004,2025-12-01,8,HWH,0.0,22,12
12004,2025-12-01,9,BCT,0.0,6,3
12004,2025-12-01,10,BRC,0.0,0,8
12004,2025-12-01,11,RTM,0.9,7,13
12004,2025-12-01,12,KOTA,1.3,28,2
12004,2025-12-01,13,MAS,5.4,0,8
12004,2025-12-01,14,SBC,10.1,0,7
12004,2025-12-01,15,NDLS,11.8,0,14
12004,2025-12-01,16,GZB,13.3,0,12
12004,2025-12-01,17,ALJN,11.2,6,2
12004,2025-12-01,18,TDL,11.4,33,16
12004,2025-12-01,19,CNB,7.3,0,11
12004,2025-12-01,20,PRYJ,4.9,0,7
12004,2025-12-01,21,DDU,9.9,0,17
12004,2025-12-01,22,PNBE,11.0,0,6
12004,2025-12-01,23,HWH,19.0,20,3
12004,2025-12-01,24,BCT,17.7,0,14
12424,2025-10-11,1,GZB,0.0,21,3
12424,2025-10-11,2,ALJN,0.0,21,11
12424,2025-10-11,3,TDL,0.0,0,9
12424,2025-10-11,4,CNB,0.0,0,7
12424,2025-10-11,5,PRYJ,0.0,0,11
12424,2025-10-11,6,DDU,0.0,0,3
12424,2025-10-11,7,PNBE,0.0,0,2
12424,2025-10-11,8,HWH,0.0,13,17
12424,2025-10-11,9,BCT,0.0,0,9
12424,2025-10-11,10,BRC,0.0,0,2
12424,2025-10-11,11,RTM,1.6,0,8
12424,2025-10-11,12,KOTA,3.4,0,6
12424,2025-10-11,13,MAS,1.1,0,14
12424,2025-10-11,14,SBC,2.5,0,2
12424,2025-10-11,15,NDLS,5.9,0,8
12424,2025-10-11,16,GZB,4.0,31,17
12424,2025-10-11,17,ALJN,5.8,0,16
12424,2025-10-11,18,TDL,12.2,0,2
12424,2025-10-11,19,CNB,17.0,0,2
12863,2025-11-26,1,GZB,9.0,8,2
12863,2025-11-26,2,ALJN,7.1,0,6
12863,2025-11-26,3,TDL,2.6,19,12
12863,2025-11-26,4,CNB,0.0,0,3
12863,2025-11-26,5,PRYJ,0.0,0,11
12863,2025-11-26,6,DDU,0.0,0,17
12863,2025-11-26,7,PNBE,0.4,34,5
12863,2025-11-26,8,HWH,6.8,0,6
12863,2025-11-26,9,BCT,9.6,10,6
12863,2025-11-26,10,BRC,9.6,0,4
12863,2025-11-26,11,RTM,18.3,0,15
12863,2025-11-26,12,KOTA,15.4,0,2
12863,2025-11-26,13,MAS,10.0,0,8
12863,2025-11-26,14,SBC,13.9,0,5
12863,2025-11-26,15,NDLS,19.5,0,5
12863,2025-11-26,16,GZB,20.9,8,5
12863,2025-11-26,17,ALJN,21.1,0,12
12863,2025-11-26,18,TDL,23.3,19,14
12863,2025-11-26,19,CNB,18.4,0,16
12807,2025-12-10,1,GZB,0.0,0,9
12807,2025-12-10,2,ALJN,0.0,31,13
12807,2025-12-10,3,TDL,0.0,0,5
12807,2025-12-10,4,CNB,0.0,0,8
12807,2025-12-10,5,PRYJ,0.0,16,4
12807,2025-12-10,6,DDU,0.0,0,10
12807,2025-12-10,7,PNBE,0.0,0,15
12807,2025-12-10,8,HWH,0.0,0,4
12807,2025-12-10,9,BCT,0.0,0,12
12807,2025-12-10,10,BRC,0.0,0,5
12807,2025-12-10,11,RTM,0.0,0,8
12807,2025-12-10,12,KOTA,0.0,0,13
12807,2025-12-10,13,MAS,0.0,0,16
12807,2025-12-10,14,SBC,0.0,0,10
12807,2025-12-10,15,NDLS,0.0,33,17
12807,2025-12-10,16,GZB,0.0,0,14
12807,2025-12-10,17,ALJN,0.0,0,7
12807,2025-12-10,18,TDL,0.0,0,4
12807,2025-12-10,19,CNB,0.0,0,13
12807,2025-12-10,20,PRYJ,0.0,0,3
12807,2025-12-10,21,DDU,0.0,0,5
12807,2025-12-10,22,PNBE,0.0,20,15
12807,2025-12-10,23,HWH,1.8,19,15
12259,2025-11-18,1,GZB,0.0,0,14
12259,2025-11-18,2,ALJN,0.0,0,7
12259,2025-11-18,3,TDL,0.0,0,2
12259,2025-11-18,4,CNB,5.5,0,5
12259,2025-11-18,5,PRYJ,8.4,24,12
12259,2025-11-18,6,DDU,3.9,0,14
12259,2025-11-18,7,PNBE,10.4,29,6
12259,2025-11-18,8,HWH,12.3,6,10
12259,2025-11-18,9,BCT,14.3,0,6
12259,2025-11-18,10,BRC,13.8,34,12
12259,2025-11-18,11,RTM,18.1,0,16
12259,2025-11-18,12,KOTA,22.0,0,17
12259,2025-11-18,13,MAS,24.9,0,14
12259,2025-11-18,14,SBC,25.1,0,16
12259,2025-11-18,15,NDLS,28.7,0,15
12259,2025-11-18,16,GZB,25.0,9,13
12259,2025-11-18,17,ALJN,19.9,0,15
12259,2025-11-18,18,TDL,15.8,0,14
12259,2025-11-18,19,CNB,12.5,0,9
12259,2025-11-18,20,PRYJ,11.5,0,8
12801,2025-11-03,1,GZB,0.0,0,4
12801,2025-11-03,2,ALJN,0.0,0,13
12801,2025-11-03,3,TDL,0.0,0,8
12801,2025-11-03,4,CNB,0.0,0,7
12801,2025-11-03,5,PRYJ,0.0,0,4
12801,2025-11-03,6,DDU,0.0,0,14
12801,2025-11-03,7,PNBE,0.0,0,9
12801,2025-11-03,8,HWH,0.0,22,10
12801,2025-11-03,9,BCT,0.5,0,4
12801,2025-11-03,10,BRC,4.7,0,6
12863,2025-12-16,1,GZB,0.0,0,17
12863,2025-12-16,2,ALJN,0.0,0,4
12863,2025-12-16,3,TDL,0.0,0,12
12863,2025-12-16,4,CNB,0.0,0,8
12863,2025-12-16,5,PRYJ,0.0,0,9
12863,2025-12-16,6,DDU,3.1,0,13
12863,2025-12-16,7,PNBE,1.4,32,6
12863,2025-12-16,8,HWH,0.4,0,2
12863,2025-12-16,9,BCT,4.0,0,10
12863,2025-12-16,10,BRC,12.0,0,17
12863,2025-12-16,11,RTM,11.1,0,11
12863,2025-12-16,12,KOTA,12.8,20,13
12863,2025-12-16,13,MAS,11.7,0,13
12863,2025-12-16,14,SBC,4.0,0,8
12863,2025-12-16,15,NDLS,9.3,0,15
12863,2025-12-16,16,GZB,19.4,0,13
12863,2025-12-16,17,ALJN,11.7,8,6
12863,2025-12-16,18,TDL,17.6,0,3
12863,2025-12-16,19,CNB,16.1,0,9
12863,2025-12-16,20,PRYJ,20.1,0,3
12863,2025-12-16,21,DDU,17.1,0,16
12863,2025-12-16,22,PNBE,19.8,0,15
12295,2025-11-23,1,GZB,7.1,0,5
12295,2025-11-23,2,ALJN,9.5,8,16
12295,2025-11-23,3,TDL,10.7,0,4
12295,2025-11-23,4,CNB,8.8,15,13
12295,2025-11-23,5,PRYJ,17.5,32,12
12295,2025-11-23,6,DDU,27.4,0,9
