iter	Logloss
0	0.6768886337
1	0.6575751009
2	0.6460469269
3	0.630021497
4	0.6133844923
5	0.5971838476
6	0.5818214178
7	0.5668548446
8	0.552318662
9	0.5400117524
10	0.5238019394
11	0.5163187973
12	0.5050294863
13	0.4961535328
14	0.4833685778
15	0.4731954965
16	0.4634768082
17	0.4535822901
18	0.4482939718
19	0.4392844258
20	0.4327701856
21	0.4232845177
22	0.4181000699
23	0.4079298748
24	0.4015483086
25	0.3965984777
26	0.3894539266
27	0.3834466947
28	0.3784275928
29	0.3733663055
30	0.3694729279
31	0.3643422817
32	0.3586710108
33	0.3543199531
34	0.3486366668
35	0.342681795
36	0.3386638366
37	0.3339913179
38	0.3283772571
39	0.3255993722
40	0.3216734015
41	0.3159279571
42	0.3110483176
43	0.3062157957
44	0.3031231371
45	0.2988817793
46	0.2951289633
47	0.2919466997
48	0.2884583721
49	0.283979687
50	0.2806892472
51	0.2771670948
52	0.2735232067
53	0.26998769
54	0.2660433885
55	0.2628910807
56	0.2601336258
57	0.2575475159
58	0.2555467191
59	0.2533257318
60	0.2495732789
61	0.2455231614
62	0.2420458335
63	0.2379352688
64	0.2358243433
65	0.2322131008
66	0.2291591397
67	0.2270763428
68	0.2247789968
69	0.2227857972
70	0.2209872459
71	0.2191078342
72	0.2174557574
73	0.2155945659
74	0.2137211057
75	0.2105411083
76	0.2082292542
77	0.2068160413
78	0.2049247875
79	0.2029687902
80	0.2008076285
81	0.198630681
82	0.1968841592
83	0.1947418492
84	0.1918360709
85	0.1887250596
86	0.1874705861
87	0.1847114007
88	0.1832180832
89	0.1813962013
90	0.1794876211
91	0.178468672
92	0.177385346
93	0.175809212
94	0.1746519281
95	0.1726262064
96	0.1703744282
97	0.1691760331
98	0.166974719
99	0.16561653
