iter	Passed	Remaining
0	56	5613
1	56	2785
2	56	1842
3	57	1370
4	57	1086
5	57	897
6	57	763
7	57	661
8	57	583
9	57	520
10	57	468
11	58	425
12	58	389
13	58	358
14	58	330
15	58	307
16	58	286
17	58	267
18	58	250
19	58	235
20	59	222
21	59	209
22	59	198
23	59	188
24	59	178
25	59	170
26	59	161
27	60	154
28	60	147
29	60	140
30	60	134
31	60	128
32	60	123
33	60	117
34	60	113
35	60	108
36	61	104
37	61	99
38	61	95
39	61	92
40	61	88
41	61	85
42	61	81
43	61	78
44	62	75
45	62	73
46	62	70
47	62	67
48	62	65
49	62	62
50	62	60
51	62	58
52	63	55
53	63	53
54	63	51
55	63	49
56	63	47
57	63	46
58	63	44
59	63	42
60	63	40
61	64	39
62	64	37
63	64	36
64	64	34
65	64	33
66	64	31
67	64	30
68	64	29
69	65	27
70	65	26
71	65	25
72	65	24
73	65	23
74	65	21
75	65	20
76	65	19
77	66	18
78	66	17
79	66	16
80	66	15
81	66	14
82	66	13
83	66	12
84	66	11
85	66	10
86	67	10
87	67	9
88	67	8
89	67	7
90	67	6
91	67	5
92	67	5
93	67	4
94	68	3
95	68	2
96	68	2
97	68	1
98	68	0
99	68	0
